Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample1_7","O3","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE1","2.0","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample1_7","01/01/2013 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample1_8","NO2","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE1","2.0","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample1_8","01/01/2013 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample1_9","NOX as NO2","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE1","2.0","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample1_9","01/01/2013 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample2_10","CO","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE2","4.4","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample2_10","01/01/2013 00:00:00","","automatic","IR-GFC","","API300E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample2_20","C6H6","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE2","4.4","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample2_20","01/01/2013 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample2_21","C6H5-CH3","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE2","4.4","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample2_21","01/01/2013 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample2_5","PM10","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE2","4.4","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample2_5","01/01/2013 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001BP","IE001BP","Cork South Link Road Landfill","SPO.IE.IE001BPSample2_6001","PM2.5","-8.47500","51.91111","12.0","m","suburban","traffic","01/01/2013 00:00:00","","SAM.IE.IE001BPSAMPLE2","4.4","m","0.0","m","6.0","m","","","Transport","","","0","","","","","","","","","","","","","","","SPP.IE.IE001BPSample2_6001","01/01/2013 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001CM","IE001CM","Laois Portlaoise Dublin Road","SPO.IE.IE001CMSample1_1","SO2","-7.28867","53.03612","107.0","m","suburban","background","02/07/2014 00:00:00","","SAM.IE.IE001CMSAMPLE1","2.6","m","7.0","m","20.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001CMSample1_1","02/07/2014 00:00:00","","automatic","UV-FL","","API100E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001CM","IE001CM","Laois Portlaoise Dublin Road","SPO.IE.IE001CMSample1_10","CO","-7.28867","53.03612","107.0","m","suburban","background","02/07/2014 00:00:00","","SAM.IE.IE001CMSAMPLE1","2.6","m","7.0","m","20.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001CMSample1_10","02/07/2014 00:00:00","","automatic","IR-GFC","","API300E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001CM","IE001CM","Laois Portlaoise Dublin Road","SPO.IE.IE001CMSample1_8","NO2","-7.28867","53.03612","107.0","m","suburban","background","02/07/2014 00:00:00","","SAM.IE.IE001CMSAMPLE1","2.6","m","7.0","m","20.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001CMSample1_8","02/07/2014 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001CM","IE001CM","Laois Portlaoise Dublin Road","SPO.IE.IE001CMSample1_9","NOX as NO2","-7.28867","53.03612","107.0","m","suburban","background","02/07/2014 00:00:00","","SAM.IE.IE001CMSAMPLE1","2.6","m","7.0","m","20.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001CMSample1_9","02/07/2014 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001CM","IE001CM","Laois Portlaoise Dublin Road","SPO.IE.IE001CMSample2_5","PM10","-7.28867","53.03612","107.0","m","suburban","background","02/07/2014 00:00:00","","SAM.IE.IE001CMSAMPLE2","2.9","m","7.0","m","20.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001CMSample2_5","02/07/2014 00:00:00","","automatic","BETA","","SWAM5aDual","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001CM","IE001CM","Laois Portlaoise Dublin Road","SPO.IE.IE001CMSample2_6001","PM2.5","-7.28867","53.03612","107.0","m","suburban","background","02/07/2014 00:00:00","","SAM.IE.IE001CMSAMPLE2","2.9","m","7.0","m","20.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001CMSample2_6001","02/07/2014 00:00:00","","automatic","BETA","","SWAM5aDual","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DM","IE001DM","Wexford Enniscorthy Parnell Road","SPO.IE.IE001DMSample1_1","SO2","-6.57075","52.49850","30.0","m","suburban","background","07/08/2014 00:00:00","","SAM.IE.IE001DMSAMPLE1","2.6","m","16.0","m","43.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DMSample1_1","07/08/2014 00:00:00","","automatic","UV-FL","","API100E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DM","IE001DM","Wexford Enniscorthy Parnell Road","SPO.IE.IE001DMSample1_10","CO","-6.57075","52.49850","30.0","m","suburban","background","07/08/2014 00:00:00","","SAM.IE.IE001DMSAMPLE1","2.6","m","16.0","m","43.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DMSample1_10","07/08/2014 00:00:00","","automatic","IR-GFC","","API300E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DM","IE001DM","Wexford Enniscorthy Parnell Road","SPO.IE.IE001DMSample1_8","NO2","-6.57075","52.49850","30.0","m","suburban","background","07/08/2014 00:00:00","","SAM.IE.IE001DMSAMPLE1","2.6","m","16.0","m","43.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DMSample1_8","07/08/2014 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DM","IE001DM","Wexford Enniscorthy Parnell Road","SPO.IE.IE001DMSample1_9","NOX as NO2","-6.57075","52.49850","30.0","m","suburban","background","07/08/2014 00:00:00","","SAM.IE.IE001DMSAMPLE1","2.6","m","16.0","m","43.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DMSample1_9","07/08/2014 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DM","IE001DM","Wexford Enniscorthy Parnell Road","SPO.IE.IE001DMSample2_5","PM10","-6.57075","52.49850","30.0","m","suburban","background","07/08/2014 00:00:00","","SAM.IE.IE001DMSAMPLE2","2.6","m","16.0","m","43.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DMSample2_5","07/08/2014 00:00:00","","automatic","BETA","","SWAM5aDual","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DM","IE001DM","Wexford Enniscorthy Parnell Road","SPO.IE.IE001DMSample2_6001","PM2.5","-6.57075","52.49850","30.0","m","suburban","background","07/08/2014 00:00:00","","SAM.IE.IE001DMSAMPLE2","2.6","m","16.0","m","43.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DMSample2_6001","07/08/2014 00:00:00","","automatic","BETA","","SWAM5aDual","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
"Ireland","http://erc.epa.ie/airquality/ipr","2023","NET.IE001","Ireland Air Quality e-Reporting monitoring network for compliance and informative reporting","UTC","IE001DP","IE001DP","Donegal Malin Head","SPO.IE.IE001DPSample1_7","O3","-7.33890","55.37220","25.0","m","rural-remote","background","01/01/2018 00:00:00","","SAM.IE.IE001DPSAMPLE1","2.7","m","0.0","m","25.0","m","","","Other sectors","","","0","","","","","","","","","","","","","","","SPP.IE.IE001DPSample1_7","01/01/2018 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://www.epa.ie/air/ipr","14.9","ug.m-3","No comment","http://www.epa.ie/air/ipr","1","other","1","other","http://cdr.eionet.europa.eu/ie/eu/aqd/d/envzthjka/IE_AQD_DatasetD_2023_retro_v2.xml","05/09/2024 03:02:26"
